,timestamp,value
227844,2025-06-11 00:00:00,69.4
590777,2025-06-11 00:00:00,70.9
834509,2025-06-11 00:00:00,6.9
380197,2025-06-11 00:00:00,76.3
631919,2025-06-11 00:00:00,40.8
697932,2025-06-11 00:00:00,37.7
483780,2025-06-11 00:00:00,82.7
648506,2025-06-11 00:00:00,85.5
583670,2025-06-11 00:00:00,28.7
385646,2025-06-11 00:00:00,90.1
92742,2025-06-11 00:00:00,43.9
523264,2025-06-11 00:00:00,60.2
728120,2025-06-11 00:00:00,86.7
708338,2025-06-11 00:00:00,26.0
838610,2025-06-11 00:00:00,30.4
734548,2025-06-11 00:00:00,45.6
154069,2025-06-11 00:00:00,24.1
31472,2025-06-11 00:00:00,89.7
153067,2025-06-11 00:00:00,90.7
250680,2025-06-11 00:00:00,27.2
472942,2025-06-11 00:00:00,4.1
234320,2025-06-11 00:00:00,31.0
830566,2025-06-11 00:00:00,0.9
103588,2025-06-11 00:00:00,20.1
85771,2025-06-11 00:00:00,22.5
295105,2025-06-11 00:01:00,92.2
275551,2025-06-11 00:01:00,33.9
358795,2025-06-11 00:01:00,13.3
652985,2025-06-11 00:01:00,13.7
251393,2025-06-11 00:01:00,3.8
385782,2025-06-11 00:01:00,69.8
297792,2025-06-11 00:01:00,31.5
530255,2025-06-11 00:01:00,33.5
832707,2025-06-11 00:01:00,88.0
568223,2025-06-11 00:01:00,91.6
475763,2025-06-11 00:01:00,49.9
190572,2025-06-11 00:01:00,87.7
779798,2025-06-11 00:01:00,17.1
220962,2025-06-11 00:01:00,76.3
840472,2025-06-11 00:01:00,62.4
569475,2025-06-11 00:01:00,56.0
644617,2025-06-11 00:01:00,58.2
676960,2025-06-11 00:01:00,68.3
103470,2025-06-11 00:01:00,16.1
321877,2025-06-11 00:01:00,68.7
240258,2025-06-11 00:02:00,26.1
395347,2025-06-11 00:02:00,65.7
748408,2025-06-11 00:02:00,23.5
343498,2025-06-11 00:02:00,92.6
118389,2025-06-11 00:02:00,5.9
387069,2025-06-11 00:02:00,9.6
89128,2025-06-11 00:02:00,24.8
98632,2025-06-11 00:02:00,37.5
640033,2025-06-11 00:02:00,31.9
426161,2025-06-11 00:02:00,60.7
137090,2025-06-11 00:02:00,32.8
632312,2025-06-11 00:02:00,19.0
17117,2025-06-11 00:02:00,32.7
63940,2025-06-11 00:02:00,60.1
618670,2025-06-11 00:02:00,22.8
589447,2025-06-11 00:03:00,4.5
469932,2025-06-11 00:03:00,34.6
568835,2025-06-11 00:03:00,58.5
691832,2025-06-11 00:03:00,52.0
341647,2025-06-11 00:03:00,33.9
103783,2025-06-11 00:03:00,82.9
276326,2025-06-11 00:03:00,52.6
371237,2025-06-11 00:03:00,61.0
702111,2025-06-11 00:03:00,28.1
668999,2025-06-11 00:03:00,28.4
815228,2025-06-11 00:03:00,31.3
824068,2025-06-11 00:03:00,43.5
837913,2025-06-11 00:03:00,53.1
767368,2025-06-11 00:03:00,11.5
358962,2025-06-11 00:03:00,55.1
641742,2025-06-11 00:03:00,16.3
374175,2025-06-11 00:03:00,65.2
832723,2025-06-11 00:03:00,93.6
87708,2025-06-11 00:03:00,6.8
176034,2025-06-11 00:03:00,96.3
505919,2025-06-11 00:03:00,54.0
226997,2025-06-11 00:03:00,6.5
697768,2025-06-11 00:03:00,38.5
472505,2025-06-11 00:03:00,33.3
720177,2025-06-11 00:04:00,19.2
232657,2025-06-11 00:04:00,31.2
614450,2025-06-11 00:04:00,94.7
4515,2025-06-11 00:04:00,19.1
483327,2025-06-11 00:04:00,54.3
440578,2025-06-11 00:04:00,10.7
811004,2025-06-11 00:04:00,53.7
575339,2025-06-11 00:04:00,61.9
255670,2025-06-11 00:04:00,97.0
148231,2025-06-11 00:04:00,99.8
149789,2025-06-11 00:04:00,27.7
47037,2025-06-11 00:04:00,29.5
251633,2025-06-11 00:04:00,82.5
722684,2025-06-11 00:04:00,49.8
468963,2025-06-11 00:04:00,23.1
758089,2025-06-11 00:04:00,70.9
622378,2025-06-11 00:04:00,50.3
139239,2025-06-11 00:04:00,53.5
762984,2025-06-11 00:04:00,91.5
13381,2025-06-11 00:04:00,69.9
214088,2025-06-11 00:04:00,0.1
650627,2025-06-11 00:04:00,72.2
366631,2025-06-11 00:04:00,50.2
494594,2025-06-11 00:04:00,39.2
134922,2025-06-11 00:04:00,76.9
536842,2025-06-11 00:04:00,96.7
320853,2025-06-11 00:04:00,1.7
367597,2025-06-11 00:05:00,84.3
389521,2025-06-11 00:05:00,46.4
394561,2025-06-11 00:05:00,50.2
220981,2025-06-11 00:05:00,99.8
296163,2025-06-11 00:05:00,28.3
97078,2025-06-11 00:05:00,33.4
331786,2025-06-11 00:05:00,23.5
286504,2025-06-11 00:05:00,31.0
103742,2025-06-11 00:05:00,64.3
585319,2025-06-11 00:05:00,82.6
32712,2025-06-11 00:05:00,46.7
684855,2025-06-11 00:05:00,55.4
387496,2025-06-11 00:05:00,63.1
689434,2025-06-11 00:05:00,49.2
835031,2025-06-11 00:05:00,91.0
707166,2025-06-11 00:05:00,77.2
61224,2025-06-11 00:05:00,76.7
485811,2025-06-11 00:06:00,33.4
465519,2025-06-11 00:06:00,6.5
208656,2025-06-11 00:06:00,7.0
419152,2025-06-11 00:06:00,42.7
208903,2025-06-11 00:06:00,98.9
277772,2025-06-11 00:06:00,80.9
443276,2025-06-11 00:06:00,78.7
827970,2025-06-11 00:06:00,71.9
